author_username,author_url,followers_count,likes_count
florina_toma,https://www.tiktok.com/@florina_toma,6100000.0,128100000.0
sebastian_schieren,https://www.tiktok.com/@sebastian_schieren,3900000.0,73800000.0
romania,https://www.tiktok.com/@romania,2300000.0,87600000.0
karenpaniaguavideos,https://www.tiktok.com/@karenpaniaguavideos,1900000.0,19200000.0
trip.com,https://www.tiktok.com/@trip.com,1600000.0,13100000.0
epicexploring,https://www.tiktok.com/@epicexploring,1300000.0,52100000.0
hello_dongwon,https://www.tiktok.com/@hello_dongwon,871400.0,28800000.0
adrian.baias,https://www.tiktok.com/@adrian.baias,649600.0,31400000.0
plasticgymrat,https://www.tiktok.com/@plasticgymrat,619300.0,8700000.0
brokeo.168,https://www.tiktok.com/@brokeo.168,521700.0,9200000.0
healingtravelscenery,https://www.tiktok.com/@healingtravelscenery,516400.0,8500000.0
victorias.way,https://www.tiktok.com/@victorias.way,471000.0,34900000.0
gladextours,https://www.tiktok.com/@gladextours,396400.0,11400000.0
mharoonkhan39,https://www.tiktok.com/@mharoonkhan39,390700.0,13200000.0
digital_zoo,https://www.tiktok.com/@digital_zoo,367000.0,15300000.0
i.wonderalot,https://www.tiktok.com/@i.wonderalot,360900.0,7000000.0
pedzulkefli,https://www.tiktok.com/@pedzulkefli,280000.0,12800000.0
backpackerjomblo_,https://www.tiktok.com/@backpackerjomblo_,275600.0,21300000.0
saltyluxe_,https://www.tiktok.com/@saltyluxe_,269200.0,16000000.0
mike_p____,https://www.tiktok.com/@mike_p____,243300.0,23300000.0
swisswoow,https://www.tiktok.com/@swisswoow,237900.0,4000000.0
whosthatbitxh,https://www.tiktok.com/@whosthatbitxh,234700.0,32200000.0
jessmelu,https://www.tiktok.com/@jessmelu,220300.0,4300000.0
bradenjstanley,https://www.tiktok.com/@bradenjstanley,202900.0,9100000.0
mddyelrck,https://www.tiktok.com/@mddyelrck,195100.0,11000000.0
switzerland_explores,https://www.tiktok.com/@switzerland_explores,195100.0,1900000.0
umutdxb,https://www.tiktok.com/@umutdxb,189500.0,2400000.0
viagememdosedupla,https://www.tiktok.com/@viagememdosedupla,181500.0,11300000.0
im_a.bigail,https://www.tiktok.com/@im_a.bigail,170500.0,1400000.0
svemirkas_reise,https://www.tiktok.com/@svemirkas_reise,156200.0,5900000.0
mtagbeauty,https://www.tiktok.com/@mtagbeauty,147000.0,2500000.0
kakitravel.net,https://www.tiktok.com/@kakitravel.net,144300.0,1100000.0
steveyalo,https://www.tiktok.com/@steveyalo,135900.0,3000000.0
kashmiri_shuvo,https://www.tiktok.com/@kashmiri_shuvo,116200.0,2900000.0
winedinenashville,https://www.tiktok.com/@winedinenashville,114400.0,3000000.0
khairulbhuiyan02,https://www.tiktok.com/@khairulbhuiyan02,104700.0,3300000.0
nihab_rahman,https://www.tiktok.com/@nihab_rahman,100900.0,2000000.0
